"DATE","TIME","12CO2","12CO2_dry","13CO2","13CO2_dry","Delta_5min","Delta_Raw","H2O","solenoid_valves",,,,,,,,,,,
"2011-08-01","00:33:09,39","449,9140747600","457,6914052200","5,0337315095","5,1205854944","-12,2385447980","-12,7537899270","1,3370290198","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:10,73","449,4433691800","457,2125779100","5,0576154131","5,1448815003","-12,2284881220","-12,2694890030","1,3370290198","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:12,26","449,4433691800","457,2125779100","5,0260088753","5,1127296108","-12,2269207530","-11,9965174800","1,3370290198","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:13,89","449,5231728600","457,2937585500","5,0447677957","5,1318122051","-12,2269207530","-11,9965174800","1,3370290198","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:15,15","449,4748453200","457,2445971500","5,0364120828","5,1233123194","-12,2307434550","-12,4053245830","1,3370290198","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:16,33","449,4745596300","457,2492122200","5,0440842562","5,1311718224","-12,2195920010","-12,3646404380","1,3378343429","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:17,69","449,7597712000","457,5393480400","5,0558633973","5,1431543338","-12,2195920010","-12,3646404380","1,3378343429","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:19,00","449,6952237600","457,4736861700","5,0378786782","5,1248591033","-12,2271052990","-11,6956297190","1,3378343429","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:20,40","449,6952237600","457,4736861700","5,0239507734","5,1106907293","-12,2436154230","-14,6706036530","1,3378343429","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:22,04","449,8477737500","457,6288699800","5,0398259521","5,1268399974","-12,2436154230","-14,6706036530","1,3378343429","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:23,40","449,3450206900","457,1174367500","5,0367498069","5,1237107417","-12,2754980160","-13,5648302040","1,3378343429","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:24,52","449,3450063900","457,1176676200","5,0426550870","5,1297207273","-12,2749297120","-12,1913890630","1,3378746410","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:25,88","449,2797847400","457,0513198600","5,0436534077","5,1307362848","-12,2749297120","-12,1913890630","1,3378746410","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:27,19","449,7402416600","457,5197269600","5,0275171196","5,1143213902","-12,2952758670","-12,8492474200","1,3378746410","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:28,60","449,7402416600","457,5197269600","5,0577379553","5,1450640138","-12,2965727610","-12,4872162420","1,3378746410","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:30,26","449,6369125100","457,4146137400","5,0178798645","5,1045177398","-12,2965727610","-12,4872162420","1,3378746410","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:31,62","449,5218749100","457,2975899200","5,0480980123","5,1352576292","-12,3360915480","-14,1384221670","1,3378746410","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:32,69","449,5217555300","457,2995187100","5,0291432428","5,1159984849","-12,3391361010","-12,7866854100","1,3382111586","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:34,06","449,6805818100","457,4610879800","5,0422589489","5,1293407042","-12,3391361010","-12,7866854100","1,3382111586","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:35,44","449,1134956200","456,8842079900","5,0341161329","5,1210572587","-12,3699971620","-13,2198856110","1,3382111586","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:36,97","449,1134956200","456,8842079900","5,0345293457","5,1214776079","-12,3723623940","-12,7200513920","1,3382111586","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:38,63","449,2251150000","456,9977550800","5,0400034827","5,1270462853","-12,3723623940","-12,7200513920","1,3382111586","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:39,95","449,6010874200","457,3802206900","5,0381593979","5,1251703525","-12,3674595540","-12,0463606710","1,3382111586","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:41,09","449,6013866300","457,3753857200","5,0410541181","5,1280575482","-12,3671627090","-12,7682363940","1,3373677365","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:42,49","449,6092794700","457,3834147800","5,0482727533","5,1354007695","-12,3671627090","-12,7682363940","1,3373677365","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:43,80","449,5639637600","457,3373169700","5,0316099277","5,1184503606","-12,3748019000","-12,7203350780","1,3373677365","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:45,22","449,5639637600","457,3373169700","5,0332724249","5,1201415509","-12,3864303890","-14,0958183140","1,3373677365","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:46,86","449,4986583400","457,2708844500","5,0331626473","5,1200298787","-12,3864303890","-14,0958183140","1,3373677365","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:48,15","449,6577863400","457,4327588300","5,0400216126","5,1270072226","-12,4065400940","-13,1320220480","1,3373677365","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:49,23","449,6574656900","457,4379410700","5,0479684440","5,1351529332","-12,4163932290","-12,0318599600","1,3382716151","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:51,00","449,4875294200","457,2650698100","5,0388632875","5,1258905197","-12,4163932290","-12,0318599600","1,3382716151","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:52,34","449,6687190600","457,4493888100","5,0434294771","5,1305355729","-12,4251184050","-12,2188770220","1,3382716151","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:53,89","449,6687190600","457,4493888100","5,0315371714","5,1184378728","-12,4312892640","-13,3384054860","1,3382716151","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:55,28","449,8630324900","457,6470582700","5,0382317137","5,1252480378","-12,4312892640","-13,3384054860","1,3382716151","4,0000000000",,,,,,,,,,,
"2011-08-01","00:33:56,45","449,8425331600","457,6262048800","5,0351577194","5,1221209520","-12,4400556770","-13,9066771840","1,3382716151","4,0000000000",,,,,,,,,,,
